file_name	model	TI_categories	replicate	likelihood	lik_L_51-13	lik_L_13-12	lik_L_12-10	lik_L_10-0	lik_M_51-13	lik_M_13-11	lik_M_11-0
Fix_2_1_Quartzabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-380.2	-38.528	-83.734	-81.278	-112.705	-2.747	-32.388	-28.82
Fix_2_1_TIC_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-372.377	-39.333	-77.785	-80.777	-110.355	-2.852	-32.894	-28.381
Fix_2_1_TICabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-377.05	-39.315	-84.801	-80.363	-110.54	-1.885	-32.522	-27.623
Fix_2_1_TOC_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-379.561	-39.329	-87.152	-79.836	-111.149	-1.696	-32.869	-27.53
Fix_2_1_TOCabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-368.558	-39.908	-74.268	-80.02	-110.62	-1.637	-34.093	-28.013
Fix_2_2_ArbPol_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-359.237	-32.507	-83.194	-74.028	-110.026	-2.898	-29.172	-27.413
Fix_2_2_ArbPolabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-361.649	-33.625	-80.556	-75.028	-110.708	-2.816	-30.454	-28.461
Fix_2_2_Ca_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-359.484	-32.667	-78.952	-74.507	-111.625	-2.568	-30.284	-28.881
Fix_2_2_Caabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-362.048	-32.278	-83.828	-74.452	-111.671	-3.685	-30.115	-26.019
Fix_2_2_DD_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-357.119	-35.48	-78.835	-73.766	-108.243	-3.079	-29.922	-27.792
Fix_2_2_DecOaks_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-361.684	-32.891	-80.75	-73.841	-113.18	-3.082	-30.132	-27.807
Fix_2_2_DecOaksabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-358.271	-33.223	-75.879	-73.757	-115.228	-2.323	-30.062	-27.798
Fix_2_2_Grainsize_0_s_13.66_12.46_10.48_13.66_11.95constSp_constEx_HP	NA	10	0	-363.316	-31.534	-83.466	-74.465	-111.654	-3.49	-30.173	-28.533
Fix_2_2_Grainsize_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-357.465	-32.091	-79.086	-73.752	-110.92	-1.689	-30.355	-29.572
Fix_2_2_Grainsizeabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-357.661	-32.666	-80.383	-74.074	-109.884	-1.656	-30.724	-28.274
Fix_2_2_Ins41_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-366.587	-32.581	-83.396	-74.871	-112.349	-2.91	-30.698	-29.783
Fix_2_2_Ins41abschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-361.527	-33.974	-82.432	-74.509	-111.139	-2.835	-29.925	-26.714
Fix_2_2_Isotope_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-360.669	-32.694	-79.578	-74.208	-112.05	-3.103	-29.745	-29.291
Fix_2_2_Isotopeabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-363.545	-32.555	-82.775	-73.579	-114.646	-1.837	-30.169	-27.985
Fix_2_2_K_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-357.457	-32.822	-78.224	-74.65	-111.967	-1.703	-30.662	-27.43
Fix_2_2_Kabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-361.285	-33.74	-80.698	-74.25	-111.033	-3.321	-30.404	-27.839
Fix_2_2_LR04_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-358.124	-32.371	-80.808	-74.709	-109.509	-2.332	-29.78	-28.615
Fix_2_2_LR04abschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-364.508	-32.028	-83.847	-74.768	-112.347	-3.207	-30.444	-27.867
Fix_2_2_Medstack_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-359.061	-32.694	-77.662	-74.266	-111.184	-3.202	-30.844	-29.208
Fix_2_2_Medstackabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-362.323	-32.741	-83.453	-74.372	-110.987	-2.801	-29.678	-28.292
Fix_2_2_Quartz_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-356.016	-32.418	-78.466	-73.867	-112.077	-2.033	-29.842	-27.313
Fix_2_2_Quartzabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-359.561	-32.262	-80.293	-74.779	-111.955	-2.612	-29.727	-27.934
Fix_2_2_TIC_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-358.788	-32.684	-78.194	-74.432	-111.42	-2.957	-30.338	-28.763
Fix_2_2_TICabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-360.982	-32.585	-82.441	-74.136	-112.01	-1.692	-30.431	-27.687
Fix_2_2_TOC_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-361.786	-32.164	-83.866	-75.199	-110.468	-2.038	-30.145	-27.906
Fix_2_2_TOCabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-356.695	-32.464	-80.659	-74.852	-110.235	-1.758	-30.625	-26.101
