"Species"	"Status"	"MinT"	"MaxT"	"Trait"
"SP_073"	"extinct"	11.705995	11.729995	1
"SP_073"	"extinct"	11.76762	11.79162	1
"SP_073"	"extinct"	11.831185	11.855185	1
"SP_073"	"extinct"	11.915185	11.939185	1
"SP_073"	"extinct"	11.954695	11.978695	1
"SP_073"	"extinct"	11.99254	12.01654	1
"SP_073"	"extinct"	12.03459	12.05859	1
"SP_073"	"extinct"	12.07853	12.10253	1
"SP_073"	"extinct"	12.108915	12.132915	1
"SP_073"	"extinct"	12.158035	12.182035	1
"SP_073"	"extinct"	12.206675	12.230675	1
"SP_073"	"extinct"	12.48824	12.51224	1
"SP_073"	"extinct"	13.470045	13.494045	1
"SP_074"	"extant"	6.2000705	6.2240705	1
"SP_075"	"extinct"	2.1105745	2.1345745	1
"SP_075"	"extinct"	2.2005125	2.2245125	1
"SP_075"	"extinct"	2.242518	2.266518	1
"SP_075"	"extinct"	2.2988715	2.3228715	1
"SP_075"	"extinct"	2.326522	2.350522	1
"SP_075"	"extinct"	2.3531855	2.3771855	1
"SP_075"	"extinct"	2.3806705	2.4046705	1
"SP_075"	"extinct"	2.4071665	2.4311665	1
"SP_075"	"extinct"	2.4317275	2.4557275	1
"SP_075"	"extinct"	2.457352	2.481352	1
"SP_075"	"extinct"	2.4848525	2.5088525	1
"SP_075"	"extinct"	2.516258	2.540258	1
"SP_075"	"extinct"	2.5509085	2.5749085	1
"SP_075"	"extinct"	2.5887335	2.6127335	1
"SP_075"	"extinct"	2.625639	2.649639	1
"SP_075"	"extinct"	2.6582265	2.6822265	1
"SP_075"	"extinct"	2.691201	2.715201	1
"SP_075"	"extinct"	2.753199	2.777199	1
"SP_075"	"extinct"	2.7809375	2.8049375	1
"SP_075"	"extinct"	2.8090625	2.8330625	1
"SP_075"	"extinct"	2.837992	2.861992	1
"SP_075"	"extinct"	2.872365	2.896365	1
"SP_075"	"extinct"	2.905247	2.929247	1
"SP_075"	"extinct"	2.935364	2.959364	1
"SP_075"	"extinct"	2.964403	2.988403	1
"SP_075"	"extinct"	2.9884145	3.0124145	1
"SP_075"	"extinct"	3.0116375	3.0356375	1
"SP_075"	"extinct"	3.0358535	3.0598535	1
"SP_075"	"extinct"	3.0623015	3.0863015	1
"SP_075"	"extinct"	3.0884175	3.1124175	1
"SP_075"	"extinct"	3.1115545	3.1355545	1
"SP_075"	"extinct"	3.1356275	3.1596275	1
"SP_075"	"extinct"	3.160494	3.184494	1
"SP_075"	"extinct"	3.190302	3.214302	1
"SP_075"	"extinct"	3.221653	3.245653	1
"SP_075"	"extinct"	3.2581535	3.2821535	1
"SP_075"	"extinct"	3.2971875	3.3211875	1
"SP_075"	"extinct"	3.3357375	3.3597375	1
"SP_075"	"extinct"	3.376096	3.400096	1
"SP_075"	"extinct"	3.419826	3.443826	1
"SP_075"	"extinct"	3.4619635	3.4859635	1
"SP_075"	"extinct"	3.501808	3.525808	1
"SP_075"	"extinct"	3.543178	3.567178	1
"SP_075"	"extinct"	3.586555	3.610555	1
"SP_075"	"extinct"	3.6292535	3.6532535	1
"SP_075"	"extinct"	3.6625815	3.6865815	1
"SP_075"	"extinct"	3.702994	3.726994	1
"SP_075"	"extinct"	3.7544275	3.7784275	1
"SP_075"	"extinct"	3.8201115	3.8441115	1
"SP_075"	"extinct"	3.881464	3.905464	1
"SP_075"	"extinct"	3.928871	3.952871	1
"SP_075"	"extinct"	3.958735	3.982735	1
"SP_075"	"extinct"	3.987663	4.011663	1
"SP_075"	"extinct"	4.0197765	4.0437765	1
"SP_075"	"extinct"	4.059875	4.083875	1
"SP_075"	"extinct"	4.093428	4.117428	1
"SP_075"	"extinct"	4.1296015	4.1536015	1
"SP_075"	"extinct"	4.1632195	4.1872195	1
"SP_075"	"extinct"	4.2000705	4.2240705	1
